dc d90b 0000096b 000008c9 00000000 00000fa1 00000000 00000000 00000000 00000000 00000b49 00000000 00000000 0000148e 00000de8 00000000 00001717 0000172a 1072 63 007ee24d a0:15
dc d90b 00000990 000008d3 00000000 00000f9c 00000000 00000000 00000000 00000000 00000d18 00000000 00000000 0000145b 00000dd6 00000000 000016df 0000173c 107a 64 007ee5d1 a0:15
dc d90b 0000096b 000008e5 00000000 00000faa 00000000 00000000 00000000 00000000 00000c34 00000000 00000000 00001480 00000d99 00000000 000017f5 00001740 1082 65 007ee955 a0:15
dc d90b 0000096b 000008ef 00000000 00000fa1 00000000 00000000 00000000 00000000 00000c26 00000000 00000000 00001452 00000d87 00000000 00001927 00001757 108a 66 007eecd9 a0:15
dc d90b 00000970 000008ef 00000000 00000f98 00000000 00000000 00000000 00000000 00000c63 00000000 00000000 00001456 00000d70 00000000 00001927 00001778 1092 67 007ef05d a0:15
dc d90b 0000096b 000008dc 00000000 00000faa 00000000 00000000 00000000 00000000 00000c5a 00000000 00000000 00001464 00000d74 00000000 00001885 00001786 109a 68 007ef3e1 a0:15
dc d90b 00000970 000008ef 00000000 00000faa 00000000 00000000 00000000 00000000 00000c4c 00000000 00000000 0000141f 00000d6b 00000000 000017f9 00001773 10a2 6b 007efe6e a0:15
dc d90b 00000970 000008d7 00000000 00000faa 00000000 00000000 00000000 00000000 00000c42 00000000 00000000 0000142d 00000d79 00000000 00001943 00001760 10aa 6c 007f01f2 a0:15
dc d90b 00000982 000008e5 00000000 00000f9c 00000000 00000000 00000000 00000000 00000c3e 00000000 00000000 00001416 00000d61 00000000 00001864 0000176a 10b2 6d 007f0576 a0:15
dc d90b 0000095d 000008ea 00000000 00000f9c 00000000 00000000 00000000 00000000 00000c34 00000000 00000000 00001448 00000d53 00000000 00001856 0000177d 10ba 6e 007f08f9 a0:15
dc c90b 00000978 000008f3 00000000 00000f9c 00000000 00000000 00000000 00000000 00000c02 00000000 00000000 00001448 00000000 00000000 00001856 0000176f 10c1 6f 007f0c7d a0:15
dc c90b 0000094f 000008f8 00000000 00000fa6 00000000 00000000 00000000 00000000 00000c1d 00000000 00000000 00001448 00000000 00000000 00001852 00001760 10c8 70 007f1001 a0:15
dc d90b 00000962 000008e5 00000000 00000f9c 00000000 00000000 00000000 00000000 00000c10 00000000 00000000 0000143b 00000d82 00000000 0000184e 00001765 10d0 71 007f1385 a0:15
dc d90b 00000970 000008ea 00000000 00000fa6 00000000 00000000 00000000 00000000 00000c3e 00000000 00000000 0000143f 00000d79 00000000 0000183b 0000176f 10d8 72 007f1709 a0:15
dc d90b 00000978 000008ef 00000000 00000faf 00000000 00000000 00000000 00000000 00000c02 00000000 00000000 00001432 00000d4f 00000000 00001856 00001798 10e0 73 007f1a8d a0:15
dc d90b 00000975 000008ea 00000000 00000fa6 00000000 00000000 00000000 00000000 00000c39 00000000 00000000 00001456 00000d45 00000000 0000181a 00001773 10e8 74 007f1e11 a0:15
dc d90b 00000958 000008ea 00000000 00000fb4 00000000 00000000 00000000 00000000 00000c1d 00000000 00000000 0000142d 00000d7e 00000000 00001811 0000175c 10f0 75 007f2195 a0:15
